trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
4,TRUE,1e-4,0,None,None,0.93,-0.018149347107885943,1.0197088971797477,0,2.108978559803432,1,0.29367719074458526,0,0.9967121882240569,0.02,0,0.02,0,0,-0.019276187834274074
4,FALSE,1e-4,0,Temporary,Weak,0.94,-0.03965940637974746,1.1936934863728246,0.04,2.6480626783029586,1,0.19263358234231662,0,0.631889397393684,0,0,0.99,0.48,0.48,-0.04088057370556997
4,FALSE,1e-4,0,Temporary,Strong,0.69,-0.12718427620152928,1.0639329230290477,0,2.6404662246403547,1,0.011067884636991373,0,0.16709224988898458,0,0,1,1,1,-0.12819958615202803
4,FALSE,1e-4,0,Permanent,Weak,0,0.7507846752190035,0.8828398994463138,0.03,2.6578219870285715,1,1.3300568651584727e-7,0,0.010251095017585105,0,0,1,1,1,0.7507444740050484
4,FALSE,1e-4,0,Permanent,Strong,0.55,0.22798536449152282,0.9078410428743947,0.08,2.744036635361325,1,5.983742090239153e-6,0,0.0275164549332401,0,0,1,1,1,0.2353198871063062
4,FALSE,1e-4,0,Permanent when exposed,Weak,0,2.1808036794231507,0.06957152541106713,1,0.18780563038492618,1,9.077939150821494e-6,0,0.0732872584027796,0,0,1,1,1,2.1751148392167083
4,FALSE,1e-4,0,Permanent when exposed,Strong,0.01,0.9224900328396738,0.09371411937912909,1,0.2685611621419392,0.97,3.315761188658882e-6,0,0.01829244101354414,0,0,0.97,0.9,0.9,0.928720797963353
4,FALSE,1e-4,0,Reverse causality,Weak,0,1.183925851024255,1.1511482925265482,0,3.045198538262328,1,0.19002963130111558,0,1.82163323955298,1,0.95,0,0,0.95,1.1807026052463427
4,FALSE,1e-4,0,Reverse causality,Strong,0,1.7960246767621741,1.3814064912983903,0.97,4.01419043584673,1,0.22968217324992213,0,3.260893901821234,1,1,0,0,1,1.7880071649645448
4,FALSE,1e-4,0,None,None,0.97,-3.9929827632582347e-4,1.2526233464508665,0.3,2.6513905037124474,1,0.25196836145494655,0,0.8721579183729241,0,0,0.25,0,0,-0.0015234656299002482
4,TRUE,1e-4,1e-5,Temporary,Weak,0.79,-0.09359136176195716,0.9847018145938408,0,1.952158651339378,1,0.17200281183404284,0,0.6938517640084196,0,0,0.9,0.25,0.25,-0.09511121205833138
4,TRUE,1e-4,1e-5,Temporary,Strong,0.32,-0.19703143705498455,0.8507574254010138,0.01,1.9384613794912628,1,0.008553985425302706,0,0.18706919200243327,0,0,1,1,1,-0.1986612259722471
4,TRUE,1e-4,1e-5,Permanent,Weak,0,0.8860103074200357,0.6679105211810621,1,1.9480573800904213,1,1.5595835300754657e-7,0,0.014484535502204339,0,0,1,1,1,0.88590718421304
